Medicine_ID,Medicine_Name,Category,Quantity_Issued,Unit_Cost,Supplier,Stock_Status
M001,Medicine1,Capsule,91,330,Supplier2,Low Stock
M002,Medicine2,Injection,107,518,Supplier3,Low Stock
M003,Medicine3,Capsule,232,990,Supplier4,In Stock
M004,Medicine4,Capsule,350,81,Supplier5,Low Stock
M005,Medicine5,Tablet,44,995,Supplier6,Low Stock
M006,Medicine6,Capsule,321,316,Supplier7,In Stock
M007,Medicine7,Injection,275,985,Supplier8,Low Stock
M008,Medicine8,Injection,223,522,Supplier9,In Stock
M009,Medicine9,Syrup,333,182,Supplier10,Low Stock
M010,Medicine10,Syrup,360,653,Supplier11,Low Stock
M011,Medicine11,Tablet,316,152,Supplier12,Low Stock
M012,Medicine12,Syrup,381,402,Supplier13,In Stock
M013,Medicine13,Syrup,299,504,Supplier14,In Stock
M014,Medicine14,Tablet,238,398,Supplier15,Low Stock
M015,Medicine15,Injection,117,987,Supplier16,Low Stock
M016,Medicine16,Injection,475,912,Supplier17,Low Stock
M017,Medicine17,Capsule,412,307,Supplier18,Low Stock
M018,Medicine18,Syrup,367,219,Supplier19,In Stock
M019,Medicine19,Syrup,410,667,Supplier20,In Stock
M020,Medicine20,Injection,426,859,Supplier1,In Stock
M021,Medicine21,Capsule,298,501,Supplier2,In Stock
M022,Medicine22,Syrup,271,921,Supplier3,In Stock
M023,Medicine23,Capsule,394,171,Supplier4,Low Stock
M024,Medicine24,Tablet,280,522,Supplier5,Low Stock
M025,Medicine25,Syrup,44,480,Supplier6,Low Stock
M026,Medicine26,Injection,415,808,Supplier7,Low Stock
M027,Medicine27,Injection,196,888,Supplier8,In Stock
M028,Medicine28,Capsule,136,248,Supplier9,In Stock
M029,Medicine29,Syrup,192,864,Supplier10,Low Stock
M030,Medicine30,Injection,411,299,Supplier11,Low Stock
M031,Medicine31,Capsule,170,639,Supplier12,In Stock
M032,Medicine32,Injection,500,965,Supplier13,In Stock
M033,Medicine33,Syrup,385,82,Supplier14,In Stock
M034,Medicine34,Syrup,137,829,Supplier15,Low Stock
M035,Medicine35,Capsule,368,858,Supplier16,In Stock
M036,Medicine36,Syrup,143,229,Supplier17,In Stock
M037,Medicine37,Syrup,22,49,Supplier18,Low Stock
